Feature,Importance
BMI,0.17497417007649807
Age,0.1351504797327534
Income,0.10363747481552935
PhysHlth,0.08152781708842884
Education,0.07465300195789043
MentHlth,0.0675568373419127
GenHlth,0.06014639632477697
Smoker,0.036959990664903714
Fruits,0.03684634003999585
Sex,0.0324744933375449
HighBP,0.030876806490497993
PhysActivity,0.02898457450797736
Veggies,0.02831219104682625
HighChol,0.023805656826557473
DiffWalk,0.017953149534359444
NoDocbcCost,0.015666898525641595
HeartDiseaseorAttack,0.015042124688822116
Stroke,0.011225264412191153
AnyHealthcare,0.00951513410516439
HvyAlcoholConsump,0.009106540470326234
CholCheck,0.005584658011401826
